Quote_ID,Paper_ID,Theme_Code,Claim_Type,Exact_Quote,Page_Number,PDF_Section,Paraphrase,How_It_Can_Be_Used_In_Review,Confidence_1_5
P043-Q03,P043,MDE_VISUAL_PROGRAMMING,Theme assignment,"The DSLs allow users to model different perspectives such as interfaces and data models, define custom business logic and construct process models.Problem: The DSL for process modelling (Business Process Technology (BPT)), has a low adoption rate and is perceived as having usability problems hampering its adoption.",1,Abstract/Introduction,Evidence related to Model-driven / visual programming roots.,Use as evidence in the Background section.,4
P043-Q04,P043,INTEGRATION,Method,"Method: We used a combination of interviews, a critical review of BPT using the “Physics of Notation” and empirical evaluations of BPT using the System Usability Scale (SUS) and the NASA Task Load indeX (TLX), to develop a new version of BPT, taking these inputs and Outsystems’ engineers culture into account.",1,Abstract/Introduction,Evidence related to Integration.,Use as evidence in the Findings section.,4
P044-Q01,P044,AI_AUTOMATION,Theme assignment,"Modern artificial intelligence (AI) technologies, especially large language models (LLM), are expected to have immense potential for digitalization in businesses.",2,Limitations/Validity,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P044-Q02,P044,EDUCATION,Theme assignment,"A further strand of research investigatesLLMs as educational tools for novice programmers[FA24,Pr24,Ng24,Ch24].Forexample,[ FA24]examinehowundergraduatestudents use LLMs to complete beginner-level programming tasks, deriving insights for future programming education.",4,Method/Approach,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P044-Q03,P044,PLATFORM_COMPARISON,Theme assignment,"Notably, Lovable.dev is the commercial successor to GPT-Engineer, an open-source command-line tool for AI-driven code generation and execution based on natural language software specifications, available on GitHub [Os23].",4,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P044-Q04,P044,AI_AUTOMATION,Method,"To explore this, we conducted a case study in which non-programmers were asked to develop a basic web app through interaction with AI assistants.The majority of study participants successfully completed the task in reasonable time and also expressed support for AI-assisted end-user coding as a viable approach for end-user development.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P045-Q01,P045,PLATFORM_COMPARISON,Theme assignment,"In a qualitative comparison and a head-to-head study against a plain Jupyter notebook baseline, we show that the framework reduces authoring effort while maintaining comparable runtime and memory behavior.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P045-Q02,P045,DOMAIN_SPECIFIC,Theme assignment,"1 A Configuration-First Framework for Reproducible, Low-Code Machine Learning: a Localization Use Case Tim Strnad, Blaž Bertalani ˇc, and Carolina Fortuna Abstract-As machine learning (ML) becomes the backbone of critical applications-ranging from logistics to healthcare it becomes even more important to keep the results credible and comparable.",1,Abstract/Introduction,Evidence related to Domain-specific use.,Use as evidence in the Findings section.,4
P045-Q03,P045,EDUCATION,Theme assignment,"Furthermore, using a Bluetooth lowenergy dataset we show that scaling across training data (1× to10×) keeps orchestration overheads bounded as data grows.",1,Abstract/Introduction,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P045-Q04,P045,PLATFORM_COMPARISON,Method,"Everyday workflows should make rigorous experiment specification and exact repeatability the default, without blocking advanced experimentation.",1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P046-Q01,P046,ENTERPRISE_ADOPTION,Theme assignment,"This team included one of the managers of the volunteering organization (“Kulanu Y achad”), a student who works in the organization as an operator, who receives the requests via phone calls and matches them with volunteers, and the first author, who joined the team as an RE expert.",3,Method/Approach,Evidence related to Enterprise adoption.,Use as evidence in the Findings section.,4
P046-Q02,P046,PLATFORM_COMPARISON,Theme assignment,Rapid application development (RAD) and no-code development (NCD) platforms aim to provide drag-and-drop tools to enable users in a constrained domain to develop applications by assembling pre-coded components [ 5].,1,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P046-Q03,P046,PRO_DEV_ROLE,Theme assignment,Low and no-code software development has changed the dynamics of software engineering by introducing the capability of nonprofessional developers to rapidly build tools without having a programming background [ 9].,2,Conclusion/Future work,Evidence related to Professional developer role change.,Use as evidence in the Findings section.,4
P046-Q04,P046,ENTERPRISE_ADOPTION,Method,"Requirements Engineering for No-Code Development (RE4NCD) A Case Study of Rapid Application Development During War Meira Levy1,2(B) and Irit Hadar2 1 Shenkar, College of Engineering, Design and Art, 5252626 Ramat Gan, Israel lmeira@shenkar.ac.il 2 University of Haifa, City Campus, 3303220 Haifa, Israel Abstract.",1,Abstract/Introduction,Evidence related to Enterprise adoption.,Use as evidence in the Findings section.,4
P047-Q01,P047,PLATFORM_COMPARISON,Theme assignment,They outline the features that facilitate the selection and comparison of different LCDPs.,8,Body,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P047-Q02,P047,EDUCATION,Theme assignment,"To do this, we relied on the implementation of the education case study with the two LCDPs.",8,Body,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P047-Q03,P047,CITIZEN_DEV,Theme assignment,"Emerging New Roles for Low-Code Software Development Platforms Jean-Marie Mottu jean-marie.mottu@ls2n.fr Nantes Université, IMT Atlantique, CNRS, LS2N, UMR 6004 Nantes, France Gerson Sunyé gerson.sunye@ls2n.fr Nantes Université, CNRS, LS2N, UMR 6004 Nantes, France ABSTRACT Low- and no-code development platforms have introduced two new development roles: the platform engineer and the citizen developer.",2,Abstract/Introduction,Evidence related to Citizen development.,Use as evidence in the Themes section.,4
P047-Q04,P047,PLATFORM_COMPARISON,Method,"For example, while a teacher spends most of her time with students, preparing her lessons or evaluating their work (for example, through quizzes), educational engineers are focused on assisting teachers by creating new methods and tools.",3,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P048-Q01,P048,DOMAIN_SPECIFIC,Theme assignment,"Developers can build apps in industries like finance, healthcare, and supply chain where transparency and trust are crucial by utilizing the decentralized characteristics of blockchain.",10,Method/Approach,Evidence related to Domain-specific use.,Use as evidence in the Findings section.,4
P048-Q02,P048,PRODUCTIVITY_SPEED,Theme assignment,"These platforms streamline development, offering benefits like faster time-to-market, reduced technical barriers, and broader participation in software creation, even for those without traditional coding skills.",1,Method/Approach,Evidence related to Productivity and speed.,Use as evidence in the Findings section.,4
P048-Q03,P048,AI_AUTOMATION,Theme assignment,"Emerging AI and ML Features Due to their capacity to automate processes, improve user experiences, and enhance decision-making, artificial intelligence (AI) and machine learning (ML) features in low-code development platforms are becoming increasingly significant.",12,Body,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P048-Q04,P048,DOMAIN_SPECIFIC,Method,This study explores the application of LCDPs in Precision Agriculture (PA) through a systematic literature review (SLR).,1,Method/Approach,Evidence related to Domain-specific use.,Use as evidence in the Findings section.,4
P049-Q01,P049,PLATFORM_COMPARISON,Theme assignment,"Similarly, Forrester Wave’s report highlighted that more than 42 LC/NC development tool vendors are structured as; platform as a service (PaaS) and provide services for developing web-based applications and mobile apps [12].",2,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P049-Q02,P049,PRO_DEV_ROLE,Theme assignment,"The contributions of this study clarify misconceptions,providinginsightsintotheevolvingroleofprofessional developers in a LC/NC world and guiding the thoughtful integration of LC/NC tools in modern software development.",2,Abstract/Introduction,Evidence related to Professional developer role change.,Use as evidence in the Findings section.,4
P049-Q03,P049,VENDOR_LOCKIN,Theme assignment,"Fourmorestudiesfoundthat LCtoolintegrationandadaptabilityissues hinderedtheadoptionofLCtools.Furthermore,some othercriticalchallengescollectedfromshortlistedprimarystudies arelimited access to source code, vendor lock-in, scalability of applicationscreated,securityconc erns,lackofcollaboration,need codingforcomplexbuilding,lesspowerfulthanmanualprogramming, cognitive habits, accessibility support, documentation, integrationofGenAIandlearningefforts ,andsoforth.Theextracted terms with descriptions and primary study ID are presented in Table3.",9,Results/Evaluation,Evidence related to Vendor lock-in.,Use as evidence in the Findings section.,4
P049-Q04,P049,PLATFORM_COMPARISON,Method,"These contrasting perceptions-between the optimism surroundingefficiencygainsandtheapprehensionaboutprofessionaldisplacement-underscoretheneedforadeeperempiricalunderstandingofwhetherLC/NCtoolsserveasvaluableaids orposepotentialthreatstothesoftwaredevelopmentpracticesof developers.Motivatedbythisgap,ourstudyobjectivesistosystematically review the literature on LC/NC development tools, focusingonthreekeyareas:identifytheextenttowhichLC/NC toolsserveasaidstoprofessionaldevelopers,categorizethespecificchallengesdevelopersfacewhileusingthesetools,andevaluate whether LC/NC tools are perceived as potential replacementsorcomplementaryenablerstoprofessionalroles.",2,Abstract/Introduction,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P050-Q01,P050,AI_AUTOMATION,Theme assignment,"Explaining AI Without Code: A User Study on Explainable AI Natalia Abarca Department of Computer Science, University of Chile natalia.abarca@ug.uchile.cl Andrés Carvallo CENIA - National Center for Artificial Intelligence andres.carvallo@cenia.cl Claudia López Moncada Universidad Técnica Federico Santa María CENIA - National Center for Artificial Intelligence clopez@inf.utfsm.cl Felipe Bravo-Marquez Department of Computer Science, University of Chile CENIA - National Center for Artificial Intelligence IMFD - Millennium Institute for Foundational Research on Data fbravo@dcc.uchile.cl Abstract The increasing use of Machine Learning (ML) in sensitive domains such as healthcare, finance, and public policy has raised concerns about the transparency of automated decisions.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P050-Q02,P050,PLATFORM_COMPARISON,Theme assignment,"Most errors occurred in T9-T11, typically during generation, analysis and comparison for local (KernelSHAP) and global explanations.",6,Method/Approach,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P050-Q03,P050,EDUCATION,Theme assignment,(a) Experiment configuration and training module.,4,Method/Approach,Evidence related to Education and training.,Use as evidence in the Findings section.,4
P050-Q04,P050,AI_AUTOMATION,Method,"Explaining AI Without Code: A User Study on Explainable AI Natalia Abarca Department of Computer Science, University of Chile natalia.abarca@ug.uchile.cl Andrés Carvallo CENIA - National Center for Artificial Intelligence andres.carvallo@cenia.cl Claudia López Moncada Universidad Técnica Federico Santa María CENIA - National Center for Artificial Intelligence clopez@inf.utfsm.cl Felipe Bravo-Marquez Department of Computer Science, University of Chile CENIA - National Center for Artificial Intelligence IMFD - Millennium Institute for Foundational Research on Data fbravo@dcc.uchile.cl Abstract The increasing use of Machine Learning (ML) in sensitive domains such as healthcare, finance, and public policy has raised concerns about the transparency of automated decisions.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
